Pitch spectroid a ojo
VozEmma1 - 120
VozEmma2 - 100
VozEmma3 - 200
VozEmma4 - 223

Parecidos1:
VozEmma1 136.46960674959612, 1
VozEmma5 136.45122700431784, 5
VozEmma6 264.4265625088052, 6    WTF?
VozEmma7 271.0733650935622, 7    WTF?
VozEmma8 250.585716913262, 8     WTF?
VozEmma9 242.59905278517635, 9   WTF?
VozEmma10 137.50857862617698, 10
VozEmma11 137.15338519391324, 11
VozEmma12 137.2891403726403, 12
VozEmma13 136.7892697155548, 13

Parecidos2:
VozEmma2 108.3206629687354, 2
VozEmma14 110.18857840753815, 14
VozEmma15 109.76829792146358, 15
VozEmma16 110.45173755670277, 16
VozEmma17 108.68223273490948, 17
VozEmma18 108.60619354112075, 18
VozEmma19 108.53998394565095, 19
VozEmma20 110.25343162220214, 20
VozEmma21 110.06192131030595, 21
VozEmma22 110.4248702836634, 22

Parecidos3:
VozEmma3 208.4031330879583, 3
VozEmma23 206.66474610348425, 23
VozEmma24 205.4602928429178, 24
VozEmma25 205.42666134528994, 25
VozEmma26 205.38428913601126, 26
VozEmma27 205.41593472088397, 27
VozEmma28 207.083296946464, 28
VozEmma29 204.98166760116337, 29
VozEmma30 206.3006770866083, 30
VozEmma31 205.49247669317694, 31

Parecidos4:
VozEmma4 231.9425248812711, 4
VozEmma32 230.5520330732672, 32
VozEmma33 230.37424011295738, 33
VozEmma34 230.2030185157789, 34
VozEmma35 233.2820069715541, 35
VozEmma36 226.46376442938993, 36
VozEmma37 226.81225546676174, 37
VozEmma38 228.49814054705845, 38
VozEmma39 230.60242125511783, 39
VozEmma40 232.7048706054841 40
